step 0: train loss 3.1927, val loss 3.1932
iter 103: loss 0.4831, time 19.93ms, mfu 0.06%
iter 104: loss 0.5317, time 19.77ms, mfu 0.06%
iter 105: loss 0.5296, time 20.94ms, mfu 0.06%
iter 106: loss 0.5808, time 19.36ms, mfu 0.06%
iter 107: loss 0.4946, time 20.88ms, mfu 0.06%
iter 108: loss 0.5287, time 18.37ms, mfu 0.06%
iter 109: loss 0.4932, time 23.28ms, mfu 0.06%
iter 110: loss 0.5178, time 20.60ms, mfu 0.06%
iter 111: loss 0.4887, time 21.56ms, mfu 0.06%
iter 112: loss 0.4628, time 20.35ms, mfu 0.06%
iter 113: loss 0.4860, time 21.16ms, mfu 0.06%
iter 114: loss 0.4857, time 22.35ms, mfu 0.06%
iter 115: loss 0.4845, time 23.62ms, mfu 0.06%
iter 116: loss 0.5026, time 19.04ms, mfu 0.06%
iter 117: loss 0.4828, time 20.37ms, mfu 0.06%
iter 118: loss 0.4852, time 18.27ms, mfu 0.06%
iter 119: loss 0.4478, time 18.59ms, mfu 0.06%
iter 120: loss 0.4825, time 19.36ms, mfu 0.06%
iter 121: loss 0.4334, time 18.33ms, mfu 0.06%
iter 122: loss 0.4412, time 45.17ms, mfu 0.06%
iter 123: loss 0.4784, time 24.33ms, mfu 0.06%
iter 124: loss 0.4732, time 18.53ms, mfu 0.06%
iter 125: loss 0.4461, time 19.23ms, mfu 0.06%
iter 126: loss 0.4737, time 18.78ms, mfu 0.06%
iter 127: loss 0.4232, time 18.85ms, mfu 0.06%
iter 128: loss 0.4457, time 18.31ms, mfu 0.06%
iter 129: loss 0.4902, time 19.74ms, mfu 0.06%
iter 130: loss 0.4526, time 18.68ms, mfu 0.06%
iter 131: loss 0.4584, time 18.28ms, mfu 0.06%
iter 132: loss 0.4407, time 18.95ms, mfu 0.06%
iter 133: loss 0.4384, time 18.69ms, mfu 0.06%
iter 134: loss 0.4531, time 18.45ms, mfu 0.06%
iter 135: loss 0.4700, time 18.38ms, mfu 0.07%
iter 136: loss 0.4251, time 18.41ms, mfu 0.07%
iter 137: loss 0.3762, time 18.80ms, mfu 0.07%
iter 138: loss 0.4472, time 18.26ms, mfu 0.07%
iter 139: loss 0.4194, time 19.03ms, mfu 0.07%
iter 140: loss 0.4076, time 19.25ms, mfu 0.07%
iter 141: loss 0.4430, time 18.49ms, mfu 0.07%
iter 142: loss 0.4013, time 17.66ms, mfu 0.07%
iter 143: loss 0.3794, time 18.38ms, mfu 0.07%
iter 144: loss 0.4074, time 18.90ms, mfu 0.07%
iter 145: loss 0.3960, time 18.64ms, mfu 0.07%
iter 146: loss 0.3942, time 18.66ms, mfu 0.07%
iter 147: loss 0.4048, time 17.98ms, mfu 0.07%
iter 148: loss 0.3965, time 18.62ms, mfu 0.07%
iter 149: loss 0.3940, time 18.55ms, mfu 0.07%
step 150: train loss 0.3651, val loss 0.3743
saving checkpoint to out/basic
iter 150: loss 0.3851, time 218.78ms, mfu 0.06%
iter 151: loss 0.3807, time 18.38ms, mfu 0.06%
iter 152: loss 0.3814, time 18.02ms, mfu 0.06%
iter 153: loss 0.3518, time 18.75ms, mfu 0.06%
iter 154: loss 0.4029, time 19.10ms, mfu 0.06%
iter 155: loss 0.3670, time 18.31ms, mfu 0.06%
iter 156: loss 0.3553, time 18.61ms, mfu 0.06%
iter 157: loss 0.3565, time 18.62ms, mfu 0.06%
iter 158: loss 0.3677, time 18.41ms, mfu 0.07%
iter 159: loss 0.3333, time 18.31ms, mfu 0.07%
iter 160: loss 0.3541, time 19.37ms, mfu 0.07%
iter 161: loss 0.3530, time 18.29ms, mfu 0.07%
iter 162: loss 0.3356, time 19.06ms, mfu 0.07%
iter 163: loss 0.3594, time 21.96ms, mfu 0.07%
iter 164: loss 0.3265, time 18.66ms, mfu 0.07%
iter 165: loss 0.3348, time 18.98ms, mfu 0.07%
